name,type,manufacturer,core_count,base_clock,boost_clock,memory,tdp,price,source
AMD Radeon RX 7600,Desktop,AMD,2048,1720 MHz,2655 MHz,8GB GDDR6,165W,24999,amazon.in
AMD Radeon RX 7700 XT,Desktop,AMD,3456,1700 MHz,2544 MHz,12GB GDDR6,245W,38999,amazon.in
AMD Radeon RX 7800 XT,Desktop,AMD,3840,1295 MHz,2430 MHz,16GB GDDR6,263W,44999,mdcomputers.in
AMD Radeon RX 7900 XTX,Desktop,AMD,6144,1855 MHz,2499 MHz,24GB GDDR6,355W,79999,amazon.in
NVIDIA GeForce RTX 3060,Desktop,NVIDIA,3584,1320 MHz,1777 MHz,12GB GDDR6,170W,22999,amazon.in
NVIDIA GeForce RTX 4060,Desktop,NVIDIA,3072,1830 MHz,2460 MHz,8GB GDDR6,115W,27999,amazon.in
NVIDIA GeForce RTX 4060 Ti,Desktop,NVIDIA,4352,2310 MHz,2535 MHz,8GB GDDR6,160W,37999,mdcomputers.in
NVIDIA GeForce RTX 4070,Desktop,NVIDIA,5888,1920 MHz,2475 MHz,12GB GDDR6X,200W,49999,flipkart.com
NVIDIA GeForce RTX 4070 Ti,Desktop,NVIDIA,7680,2310 MHz,2610 MHz,12GB GDDR6X,285W,69999,amazon.in
NVIDIA GeForce RTX 4080,Desktop,NVIDIA,9728,2205 MHz,2505 MHz,16GB GDDR6X,320W,89999,flipkart.com
NVIDIA GeForce RTX 4090,Desktop,NVIDIA,16384,2235 MHz,2520 MHz,24GB GDDR6X,450W,159999,amazon.in
